,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BradTo00,34,201111270phi,24,70.58823529411765,0,0,0.0,0.0,0.0,0.0,0,63,13,0.08823529411764706,0.125,3,361,10.617647058823529,15.041666666666666,134.6,5,0,28,1,0.029411764705882353,8
BradTo00,38,201112040nwe,29,76.31578947368422,0,0,0.0,0.0,0.0,0.0,0,23,6,0.05263157894736842,0.06896551724137931,2,289,7.605263157894737,9.96551724137931,114.9,3,0,7,1,0.02631578947368421,0
BradTo00,37,201112110was,22,59.45945945945946,0,0,0.0,0.0,0.02702702702702703,0.045454545454545456,1,50,5,0.08108108108108109,0.13636363636363635,3,357,9.64864864864865,16.227272727272727,107.6,4,0,8,1,0.02702702702702703,5
BradTo00,34,201112180den,23,67.64705882352942,1,0,0.0,0.029411764705882353,0.0,0.0,0,46,2,0.058823529411764705,0.08695652173913043,2,320,9.411764705882353,13.91304347826087,117.3,6,1,2,2,0.058823529411764705,10
BradTo00,46,201112240nwe,27,58.69565217391305,0,0,0.0,0.0,0.0,0.0,0,42,5,0.021739130434782608,0.037037037037037035,1,304,6.608695652173913,11.25925925925926,85.8,9,2,17,4,0.08695652173913043,23
BradTo00,35,201201010nwe,23,65.71428571428571,1,0,0.0,0.02857142857142857,0.02857142857142857,0.043478260869565216,1,53,0,0.08571428571428572,0.13043478260869565,3,338,9.657142857142857,14.695652173913043,113.7,0,0,0,4,0.11428571428571428,18
BradTo00,34,201201140nwe,26,76.47058823529412,0,0,0.0,0.0,0.029411764705882353,0.038461538461538464,1,61,4,0.17647058823529413,0.23076923076923078,6,363,10.676470588235293,13.961538461538462,137.6,3,0,8,0,0.0,0
BradTo00,36,201201220nwe,22,61.111111111111114,0,0,0.0,0.0,0.05555555555555555,0.09090909090909091,2,23,4,0.0,0.0,0,239,6.638888888888889,10.863636363636363,57.5,6,1,2,1,0.027777777777777776,5
BradTo00,41,201202050nwe,27,65.85365853658537,0,0,0.0,0.0,0.024390243902439025,0.037037037037037035,1,21,0,0.04878048780487805,0.07407407407407407,2,276,6.7317073170731705,10.222222222222221,91.1,0,0,0,2,0.04878048780487805,10
BradTo00,31,201209090oti,23,74.19354838709677,0,0,0.0,0.0,0.0,0.0,0,28,2,0.06451612903225806,0.08695652173913043,2,236,7.612903225806452,10.26086956521739,117.1,2,0,1,1,0.03225806451612903,8
BradTo00,46,201209160nwe,28,60.86956521739131,0,0,0.0,0.0,0.021739130434782608,0.03571428571428571,1,36,-1,0.021739130434782608,0.03571428571428571,1,316,6.869565217391305,11.285714285714286,79.6,1,0,-1,4,0.08695652173913043,19
BradTo00,41,201209230rav,28,68.29268292682927,1,0,0.0,0.024390243902439025,0.0,0.0,0,59,7,0.024390243902439025,0.03571428571428571,1,335,8.170731707317072,11.964285714285714,101.2,2,0,7,2,0.04878048780487805,16
BradTo00,36,201209300buf,22,61.111111111111114,0,0,0.0,0.0,0.0,0.0,0,41,4,0.08333333333333333,0.13636363636363635,3,340,9.444444444444445,15.454545454545455,120.1,1,1,4,1,0.027777777777777776,7
BradTo00,31,201210070nwe,23,74.19354838709677,1,0,0.0,0.03225806451612903,0.0,0.0,0,25,1,0.03225806451612903,0.043478260869565216,1,223,7.193548387096774,9.695652173913043,104.6,4,1,-2,4,0.12903225806451613,30
BradTo00,58,201210140sea,36,62.06896551724138,0,0,0.0,0.0,0.034482758620689655,0.05555555555555555,2,46,0,0.034482758620689655,0.05555555555555555,2,395,6.810344827586207,10.972222222222221,79.3,0,0,0,1,0.017241379310344827,7
BradTo00,42,201210210nwe,26,61.904761904761905,0,0,0.0,0.0,0.0,0.0,0,21,0,0.047619047619047616,0.07692307692307693,2,259,6.166666666666667,9.961538461538462,95.2,0,0,0,1,0.023809523809523808,9
BradTo00,35,201210280ram,23,65.71428571428571,0,0,0.0,0.0,0.0,0.0,0,32,3,0.11428571428571428,0.17391304347826086,4,304,8.685714285714285,13.217391304347826,131.1,1,0,3,0,0.0,0
BradTo00,38,201211110nwe,23,60.526315789473685,0,0,0.0,0.0,0.0,0.0,0,24,-1,0.05263157894736842,0.08695652173913043,2,237,6.2368421052631575,10.304347826086957,96.1,1,0,-1,1,0.02631578947368421,7
BradTo00,35,201211180nwe,24,68.57142857142857,0,0,0.0,0.0,0.0,0.0,0,36,0,0.08571428571428572,0.125,3,331,9.457142857142857,13.791666666666666,127.2,0,0,0,0,0.0,0
BradTo00,27,201211220nyj,18,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,83,2,0.1111111111111111,0.16666666666666666,3,323,11.962962962962964,17.944444444444443,144.5,3,1,5,0,0.0,0
BradTo00,40,201212020mia,24,60.0,0,0,0.0,0.0,0.025,0.041666666666666664,1,31,2,0.025,0.041666666666666664,1,238,5.95,9.916666666666666,74.8,4,0,-1,4,0.1,25
BradTo00,35,201212100nwe,21,60.0,0,0,0.0,0.0,0.0,0.0,0,63,6,0.11428571428571428,0.19047619047619047,4,296,8.457142857142857,14.095238095238095,125.4,1,0,6,1,0.02857142857142857,7
BradTo00,65,201212160nwe,36,55.38461538461539,0,0,0.0,0.0,0.03076923076923077,0.05555555555555555,2,53,5,0.015384615384615385,0.027777777777777776,1,443,6.815384615384615,12.305555555555555,68.9,3,1,11,3,0.046153846153846156,18
BradTo00,41,201212230jax,24,58.536585365853654,0,0,0.0,0.0,0.04878048780487805,0.08333333333333333,2,32,0,0.04878048780487805,0.08333333333333333,2,267,6.512195121951219,11.125,73.9,0,0,0,3,0.07317073170731707,21
BradTo00,36,201212300nwe,22,61.111111111111114,0,0,0.0,0.0,0.0,0.0,0,25,0,0.05555555555555555,0.09090909090909091,2,284,7.888888888888889,12.909090909090908,104.4,0,0,0,1,0.027777777777777776,8
BradTo00,40,201301130nwe,25,62.5,0,0,0.0,0.0,0.0,0.0,0,47,-1,0.075,0.12,3,344,8.6,13.76,115.0,1,0,-1,1,0.025,9
BradTo00,54,201301200nwe,29,53.70370370370371,0,0,0.0,0.0,0.037037037037037035,0.06896551724137931,2,36,3,0.018518518518518517,0.034482758620689655,1,320,5.925925925925926,11.03448275862069,62.3,2,0,5,0,0.0,0
BradTo00,52,201309080buf,29,55.769230769230774,1,1,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.034482758620689655,1,35,0,0.038461538461538464,0.06896551724137931,2,288,5.538461538461538,9.931034482758621,76.4,4,0,-4,3,0.057692307692307696,15
BradTo00,39,201309120nwe,19,48.717948717948715,0,0,0.0,0.0,0.0,0.0,0,39,0,0.02564102564102564,0.05263157894736842,1,185,4.743589743589744,9.736842105263158,71.0,2,0,-2,1,0.02564102564102564,7
BradTo00,36,201309220nwe,25,69.44444444444444,0,0,0.0,0.0,0.027777777777777776,0.04,1,20,5,0.05555555555555555,0.08,2,225,6.25,9.0,92.9,5,0,5,3,0.08333333333333333,23
BradTo00,31,201309290atl,20,64.51612903225806,1,0,0.0,0.03225806451612903,0.0,0.0,0,49,1,0.06451612903225806,0.1,2,316,10.193548387096774,15.8,119.8,5,0,-2,0,0.0,0
BradTo00,38,201310060cin,18,47.368421052631575,1,0,0.0,0.02631578947368421,0.02631578947368421,0.05555555555555555,1,53,0,0.0,0.0,0,197,5.184210526315789,10.944444444444445,52.2,0,0,0,4,0.10526315789473684,31
BradTo00,43,201310130nwe,25,58.139534883720934,0,0,0.0,0.0,0.023255813953488372,0.04,1,23,11,0.023255813953488372,0.04,1,269,6.255813953488372,10.76,74.7,2,0,16,5,0.11627906976744186,34
BradTo00,46,201310200nyj,22,47.82608695652174,2,0,0.0,0.043478260869565216,0.021739130434782608,0.045454545454545456,1,30,0,0.0,0.0,0,228,4.956521739130435,10.363636363636363,53.5,0,0,0,4,0.08695652173913043,23
BradTo00,22,201310270nwe,13,59.09090909090909,0,0,0.0,0.0,0.045454545454545456,0.07692307692307693,1,26,8,0.045454545454545456,0.07692307692307693,1,116,5.2727272727272725,8.923076923076923,69.5,4,0,5,3,0.13636363636363635,16
BradTo00,33,201311030nwe,23,69.6969696969697,0,0,0.0,0.0,0.0,0.0,0,81,-1,0.12121212121212122,0.17391304347826086,4,432,13.090909090909092,18.782608695652176,151.8,1,0,-1,3,0.09090909090909091,19
BradTo00,40,201311180car,29,72.5,0,0,0.0,0.0,0.025,0.034482758620689655,1,37,3,0.025,0.034482758620689655,1,296,7.4,10.206896551724139,91.2,1,0,3,2,0.05,13
BradTo00,50,201311240nwe,34,68.0,2,1,0.02,0.04,0.0,0.0,0,43,1,0.06,0.08823529411764706,3,344,6.88,10.117647058823529,107.4,2,0,0,3,0.06,20
BradTo00,41,201312010htx,29,70.73170731707317,0,0,0.0,0.0,0.024390243902439025,0.034482758620689655,1,50,0,0.04878048780487805,0.06896551724137931,2,371,9.048780487804878,12.793103448275861,104.8,0,0,0,1,0.024390243902439025,6
BradTo00,52,201312080nwe,32,61.53846153846154,1,1,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.03125,1,50,2,0.038461538461538464,0.0625,2,418,8.038461538461538,13.0625,91.7,2,0,1,4,0.07692307692307693,21
BradTo00,55,201312150mia,34,61.81818181818181,0,0,0.0,0.0,0.01818181818181818,0.029411764705882353,1,30,0,0.03636363636363636,0.058823529411764705,2,364,6.618181818181818,10.705882352941176,85.7,0,0,0,1,0.01818181818181818,7
BradTo00,26,201312220rav,14,53.84615384615385,0,0,0.0,0.0,0.0,0.0,0,34,0,0.038461538461538464,0.07142857142857142,1,172,6.615384615384615,12.285714285714286,87.3,0,0,0,2,0.07692307692307693,14
BradTo00,24,201312290nwe,14,58.333333333333336,0,0,0.0,0.0,0.041666666666666664,0.07142857142857142,1,22,0,0.041666666666666664,0.07142857142857142,1,122,5.083333333333333,8.714285714285714,68.4,4,0,-3,1,0.041666666666666664,7
